Date	Y	X	Z	RASTERVALU	Tiefe [km]	Magnitude	Epizentrum
08.06.1984	50.841	6.243	-12240.78	159.22	12.4	1.3	NW. DUEREN
08.08.2002	50.877	6.241	-11059.96	140.04	11.2	0.9	ALSDORF
08.09.2003	50.77	6.554	-14350.44	149.56	14.5	1.7	STOCKHEIM
08.09.2013	50.767	6.315	-4656.45	243.55	4.9	1.4	STOLBERG
08.10.1977	50.793	6.373	-745.02	254.98	1	1	ESCHWEILER
08.10.1977	50.86	6.215	-5441.79	158.21	5.6	1.6	S. ALSDORF
08.10.2008	50.934	6.156	-12480.18	119.82	12.6	1.1	BEGGENDORF
08.10.2013	50.868	6.211	-16552.43	147.57	16.7	0.9	ALSDORF
08.12.1985	50.842	6.283	-11844.34	155.66	12	1	DUERWISS
09.01.2009	50.758	6.249	-12147.35	252.65	12.4	0.5	STOLBERG
09.02.2009	50.841	6.229	-15236.46	163.54	15.4	0.6	KINZIGWEILER
09.03.1994	50.798	6.413	-3967.45	132.55	4.1	1.9	W. DUEREN
09.03.1994	50.793	6.422	-4662.23	137.77	4.8	1.7	W. DUEREN
09.03.2015	50.706	6.327	-3514.85	385.15	3.9	-0.2	RAFFELSBRAND
09.04.1977	50.923	6.479	-22167.35	232.65	22.4	2.5	HAMBACH
09.04.2011	50.825	6.416	-11780.02	119.98	11.9	0.5	LANGERWEHE
09.05.2017	50.715	6.257	-3687.96	312.04	4	1.1	ZWEIFALL
09.06.2013	50.826	6.282	-16251.57	148.43	16.4	0.4	DUERWISS
09.07.2011	50.773	6.364	-12148.19	251.81	12.4	0.1	HUERTGENWALD
09.08.2002	50.899	6.283	-5588.65	111.35	5.7	1.4	ALSDORF
09.08.2008	50.735	6.363	-15905.92	294.08	16.2	1.4	HUERTGENWALD
09.09.1984	50.954	6.401	-9602.96	97.04	9.7	1.1	NE. JUELICH
09.09.1984	50.953	6.394	-8002.73	97.27	8.1	1.3	NE. JUELICH
09.11.2013	50.895	6.511	-10019.28	-119.28	9.9	1.2	E. NIEDERZIER
09.11.2014	50.735	6.113	-16839.19	260.81	17.1	0.5	S. AACHEN
09.12.1991	50.718	6.256	-16546.79	253.21	16.8	-	SE. ESCHWEILER
09.12.2003	50.86	6.272	-9871.33	128.67	10	1.2	DUERWISS
09.12.2010	50.721	6.302	-18312.37	387.63	18.7	0.9	ZWEIFALL
10.01.2010	50.904	6.111	-15289.28	110.72	15.4	1.2	UEBACH-PALENBERG
10.01.2012	50.886	6.239	-10368.31	131.69	10.5	0.5	E. ALSDORF
10.01.2012	50.868	6.247	-14561.42	138.58	14.7	1.3	E. ALSDORF
10.01.2014	50.728	6.343	-13991.82	308.18	14.3	0.3	HUERTGENWALD
10.01.2015	50.847	6.221	-15626.43	173.57	15.8	1.4	MARIADORF
10.02.1979	50.739	6.189	-17851.78	248.22	18.1	1.7	SE. AACHEN
10.03.1995	50.917	6.113	-10289.68	110.32	10.4	2.2	UEBACH-PALENBERG
10.03.2013	50.884	6.182	-10751.85	148.15	10.9	0.9	ALSDORF
10.05.1992	50.798	6.308	-16007.86	192.14	16.2	0.8	ESCHWEILER
10.05.2005	50.912	6.127	-14071.83	128.17	14.2	1.4	UEBACH-PALENBERG
10.07.1999	50.89	6.237	-11071.18	128.82	11.2	1	UEBACH-PALENBERG
10.07.2004	50.843	6.322	-14966.11	133.89	15.1	1.2	DUERWISS
10.08.2011	50.798	6.279	-12445.43	154.57	12.6	0.3	ESCHWEILER
10.09.2003	50.72	6.294	-5663.33	336.67	6	1.1	ZWEIFALL
10.09.2018	50.775	6.254	-13833.12	266.88	14.1	0.6	STOLBERG
10.10.2002	50.881	6.233	-17165.14	134.86	17.3	0.3	ALSDORF
10.10.2016	50.879	6.214	-15457.51	142.49	15.6	0.7	HOENGEN
11.01.2006	50.955	6.463	-1514.55	85.45	1.6	2	GUESTEN
11.01.2012	50.745	6.27	-4729.29	270.71	5	0.7	ZWEIFALL
11.03.1988	50.853	6.158	-5234.46	165.54	5.4	-	S. ALSDORF
11.03.2018	50.822	6.449	-16384.18	115.82	16.5	0.8	MARIAWEILER
11.04.2011	50.834	6.373	-6885.84	114.16	7	1	N. LANGERWEHE
11.04.2016	50.874	6.258	-17971.44	128.56	18.1	1.9	NIEDERMERZ
11.04.2016	50.874	6.27	-16872.99	127.01	17	2.2	NIEDERMERZ
11.05.2003	50.713	6.377	-12425.66	374.34	12.8	0.7	HURTGENWALD
11.07.1994	50.895	6.131	-12568.17	131.83	12.7	2.1	S. UEBACH-PALENBERG
11.09.2003	50.908	6.265	-6394.41	105.59	6.5	1.1	ALSDORF
11.09.2012	50.725	6.302	-5230.2	369.8	5.6	0.2	RAFFELSBRAND
11.09.2013	50.799	6.284	-2943.06	156.94	3.1	0.2	STOLBERG
11.10.2002	50.864	6.228	-10552.15	147.85	10.7	1.6	ALSDORF
11.10.2017	50.834	6.24	-12333.29	166.71	12.5	0.5	N. ESCHWEILER
11.11.2005	50.868	6.197	-14732.84	167.16	14.9	0.3	ALSDORF
11.12.2004	50.884	6.217	-17065.95	134.05	17.2	1.1	ALSDORF
12.01.2004	50.853	6.418	-15996.97	103.03	16.1	1	MERKEN
12.02.2011	50.718	6.271	-7684.93	315.07	8	1	ZWEIFALL
12.03.1987	50.768	6.059	-9782.67	217.33	10	0.8	AACHEN
12.03.1993	50.898	6.126	-18068.29	131.71	18.2	1.4	S. UEBACH-PALENBERG
12.06.2002	50.873	6.174	-15241.94	158.06	15.4	1.9	ALSDORF
12.07.2014	50.86	6.411	-8965.11	34.89	9	1.2	PIER
12.09.2013	50.78	6.306	-392.84	207.16	0.6	0.7	STOLLBERG
12.11.2002	50.888	6.218	-9367.99	132.01	9.5	1.5	ALSDORF
12.11.2002	50.897	6.526	-2136.24	-136.24	2	1.2	ANGELSDORF
12.11.2018	50.725	6.317	-11496.66	303.34	11.8	0.3	ZWEIFALL
13.01.2004	50.811	6.291	-16168.56	131.44	16.3	1.1	ESCHWEILER
13.02.2008	50.87	6.259	-10270.81	129.19	10.4	0.8	E. ALSDORF
13.02.2008	50.87	6.249	-14063.84	136.16	14.2	1.5	E. ALSDORF
13.03.2010	50.748	6.264	-2786.23	213.77	3	0.2	STOLBERG
13.04.1992	50.842	6.247	-15338.05	161.95	15.5	1.6	ESCHWEILER
13.04.1992	50.844	6.236	-14742.41	157.59	14.9	1.7	ESCHWEILER
13.04.1992	50.823	6.222	-16696.87	203.13	16.9	-	ESCHWEILER
13.04.1992	50.798	6.19	-14622.76	177.24	14.8	0.9	STOLBERG
13.04.1992	50.862	6.146	-1951.22	148.78	2.1	1.4	ALSDORF
13.04.1992	50.842	6.265	-13837.91	162.09	14	2.5	ESCHWEILER
13.04.1994	50.797	6.415	-2666.47	133.53	2.8	1.6	W. DUEREN
13.05.2012	50.725	6.263	-7960.25	239.75	8.2	0	ZWEIFALL
13.06.2004	50.93	6.489	-1110.2	189.8	1.3	2	E. STETTERNICH
13.06.2013	50.89	6.23	-9972.3	127.7	10.1	1.1	SCHLEIDEN
13.07.1993	50.857	6.222	-15150.29	149.71	15.3	1.7	ALSDORF
13.07.1993	50.842	6.231	-15137.4	162.6	15.3	1.6	ALSDORF
13.07.1993	50.859	6.22	-11248.86	151.14	11.4	1.3	ALSDORF
13.07.1993	50.845	6.234	-15441.35	158.65	15.6	1.8	ALSDORF
13.09.1988	50.946	6.454	-4106.96	193.04	4.3	2.3	SE. WELLDORF
14.01.2002	50.847	6.208	-11018.48	181.52	11.2	0.9	DUERWISS
14.01.2012	50.729	6.358	-14550.05	349.95	14.9	0.9	HUERTGENWALD
14.01.2012	50.842	6.238	-13942.83	157.17	14.1	0.7	SE. ALSDORF
14.02.2016	50.828	6.247	-14030.05	169.95	14.2	0.6	ESCHWEILER
14.02.2016	50.947	6.501	-510.63	89.37	0.6	0.6	S. OBEREMBT
14.04.1992	50.879	6.223	-12061.22	138.78	12.2	-	ALSDORF
14.04.1992	50.828	6.261	-15834.9	165.1	16	-	ESCHWEILER
14.04.1992	50.838	6.225	-14525.96	174.04	14.7	1.4	KINZWEILER
14.04.1992	50.882	6.123	-8557.21	142.79	8.7	1.2	ALSDORF
14.04.1992	50.828	6.243	-13829.73	170.27	14	2.9	ESCHWEILER
14.04.1992	50.885	6.085	-7577.07	122.93	7.7	1.6	KERKRADE
14.04.1992	50.946	6.186	-13899.64	100.36	14	4	IMMENDORF
14.06.2000	50.816	6.175	-2806.09	193.91	3	1.8	WUERSELEN
14.06.2015	50.925	6.453	-3923.45	276.55	4.2	0.9	STETTERNICH
14.07.1995	50.863	6.526	-11774.65	125.35	11.9	1.2	W. BUIR
14.07.2001	50.814	6.005	-11032.42	167.58	11.2	1.8	W. KERKRADE
14.07.2006	50.718	6.075	-20242.34	257.66	20.5	0.9	S. AACHEN
14.07.2010	50.846	6.387	-9883.22	116.78	10	1.1	INDEN
14.08.2002	50.899	6.324	-8791.4	108.6	8.9	0.6	ALSDORF
14.08.2009	50.712	6.299	-6720.12	379.88	7.1	1	HUERTGENWALD
14.10.1993	50.822	6.329	-12349.48	150.52	12.5	1.5	ESCHWEILER
14.10.1993	50.829	6.334	-11085.3	114.7	11.2	2.2	WEISWEILER
14.10.1993	50.841	6.311	-11052.93	147.07	11.2	1.4	N. WEISWEILER
14.10.2016	50.932	6.436	-14241.5	258.5	14.5	1.2	E. STETTERNICH
15.01.2017	50.838	6.194	-12315.56	184.44	12.5	0.7	ST. JÖRIS
15.04.1982	50.936	6.531	-7114.8	85.2	7.2	1.8	ELSDORF
15.04.1992	50.821	6.256	-15958.78	141.22	16.1	2.1	ESCHWEILER
15.07.1994	50.837	6.3	-9643.44	156.56	9.8	1.6	NE. ESCHWEILER
15.08.2013	50.748	6.296	-11501.09	298.91	11.8	-0.2	MONSCHAU
15.08.2013	50.775	6.301	-5276.62	223.38	5.5	2.3	STOLBERG
15.08.2013	50.772	6.293	-4559.96	240.04	4.8	1.6	STOLBERG
